,year,month,week,hour,report_date,shift,offense,method,district
470,2014,1,2,8,01/11/2014,DAY,SEX ABUSE,OTHERS,3
471,2014,8,38,0,9/18/2014,MIDNIGHT,HOMICIDE,OTHERS,7
472,2015,6,25,0,6/14/2015,MIDNIGHT,HOMICIDE,GUN,6
473,2013,5,18,17,05/01/2013,EVENING,SEX ABUSE,OTHERS,2
474,2014,12,51,2,12/15/2014,MIDNIGHT,SEX ABUSE,OTHERS,5
475,2012,6,30,0,7/27/2012,MIDNIGHT,HOMICIDE,OTHERS,6
476,2012,2,6,14,02/08/2012,DAY,SEX ABUSE,OTHERS,3
477,2012,4,17,0,4/25/2012,MIDNIGHT,SEX ABUSE,OTHERS,1
478,2014,3,10,18,03/03/2014,EVENING,SEX ABUSE,OTHERS,4
479,2013,9,38,0,9/16/2013,MIDNIGHT,HOMICIDE,GUN,1
480,2012,7,30,9,7/24/2012,DAY,SEX ABUSE,OTHERS,1
481,2012,5,19,2,05/10/2012,MIDNIGHT,SEX ABUSE,KNIFE,5
482,2011,2,8,0,2/19/2011,MIDNIGHT,HOMICIDE,GUN,3
483,2014,6,27,0,6/29/2014,MIDNIGHT,HOMICIDE,KNIFE,6
484,2015,7,28,5,07/06/2015,MIDNIGHT,SEX ABUSE,OTHERS,4
485,2012,1,2,0,01/08/2012,MIDNIGHT,HOMICIDE,GUN,6
486,2015,8,32,11,08/08/2015,DAY,SEX ABUSE,OTHERS,6
487,2013,8,33,13,8/13/2013,DAY,SEX ABUSE,OTHERS,3
488,2011,6,27,13,6/26/2011,DAY,SEX ABUSE,OTHERS,6
489,2016,3,16,14,4/13/2016,DAY,SEX ABUSE,OTHERS,1
490,2012,11,45,11,11/05/2012,DAY,SEX ABUSE,OTHERS,3
491,2014,6,24,8,6/13/2014,DAY,SEX ABUSE,KNIFE,4
492,2012,1,3,10,1/17/2012,DAY,SEX ABUSE,GUN,5
493,2015,5,21,2,5/22/2015,MIDNIGHT,HOMICIDE,KNIFE,5
